step,operation,incr_ns,full_ns,n_active,incr_ari
391,insert,792,-1,691,-2.0
392,insert,1125,-1,692,-2.0
393,insert,1083,-1,693,-2.0
394,insert,1584,-1,694,-2.0
395,insert,1041,-1,695,-2.0
396,insert,1667,-1,696,-2.0
397,insert,458,-1,697,-2.0
398,insert,1292,-1,698,-2.0
399,insert,791,-1,699,-2.0
400,insert,1584,-1,700,-2.0
401,insert,1375,-1,701,-2.0
402,insert,1000,-1,702,-2.0
403,insert,1167,-1,703,-2.0
404,insert,1125,-1,704,-2.0
405,insert,917,-1,705,-2.0
406,insert,1250,-1,706,-2.0
407,insert,667,-1,707,-2.0
408,insert,1083,-1,708,-2.0
409,insert,2250,-1,709,-2.0
410,insert,1417,-1,710,-2.0
411,insert,333,-1,711,-2.0
412,insert,1334,-1,712,-2.0
413,insert,1041,-1,713,-2.0
414,insert,792,-1,714,-2.0
415,insert,792,-1,715,-2.0
416,insert,750,-1,716,-2.0
417,insert,1250,-1,717,-2.0
418,insert,1208,-1,718,-2.0
419,insert,1167,-1,719,-2.0
420,insert,1000,-1,720,-2.0
421,insert,959,-1,721,-2.0
422,insert,1000,-1,722,-2.0
423,insert,1083,-1,723,-2.0
424,insert,1167,-1,724,-2.0
425,insert,916,-1,725,-2.0
426,insert,1792,-1,726,-2.0
427,insert,1208,-1,727,-2.0
428,insert,1417,-1,728,-2.0
429,insert,1125,-1,729,-2.0
430,insert,917,-1,730,-2.0
431,insert,1916,-1,731,-2.0
432,insert,1250,-1,732,-2.0
433,insert,750,-1,733,-2.0
434,insert,1084,-1,734,-2.0
435,insert,2000,-1,735,-2.0
436,insert,1000,-1,736,-2.0
437,insert,958,-1,737,-2.0
438,insert,1000,-1,738,-2.0
439,insert,958,-1,739,-2.0
440,insert,917,-1,740,-2.0
441,insert,833,-1,741,-2.0
442,insert,1042,-1,742,-2.0
443,insert,875,-1,743,-2.0
444,insert,1041,-1,744,-2.0
445,insert,959,-1,745,-2.0
446,insert,1708,-1,746,-2.0
447,insert,1500,-1,747,-2.0
448,insert,917,-1,748,-2.0
449,insert,1208,-1,749,-2.0
450,insert,1000,-1,750,-2.0
451,insert,875,-1,751,-2.0
452,insert,1000,-1,752,-2.0
453,insert,667,-1,753,-2.0
454,insert,1209,-1,754,-2.0
455,insert,500,-1,755,-2.0
456,insert,1500,-1,756,-2.0
457,insert,1958,-1,757,-2.0
458,insert,1584,-1,758,-2.0
459,insert,2625,-1,759,-2.0
460,insert,1083,-1,760,-2.0
461,insert,875,-1,761,-2.0
462,insert,1583,-1,762,-2.0
463,insert,666,-1,763,-2.0
464,insert,1042,-1,764,-2.0
465,insert,875,-1,765,-2.0
466,insert,833,-1,766,-2.0
467,insert,1459,-1,767,-2.0
468,insert,1083,-1,768,-2.0
469,insert,1416,-1,769,-2.0
470,insert,1500,-1,770,-2.0
471,insert,1750,-1,771,-2.0
472,insert,1708,-1,772,-2.0
473,insert,1042,-1,773,-2.0
474,insert,1958,-1,774,-2.0
475,insert,875,-1,775,-2.0
476,insert,1250,-1,776,-2.0
477,insert,1417,-1,777,-2.0
478,insert,833,-1,778,-2.0
479,insert,750,-1,779,-2.0
480,insert,1834,-1,780,-2.0
481,insert,1542,-1,781,-2.0
482,insert,917,-1,782,-2.0
483,insert,917,-1,783,-2.0
484,insert,958,-1,784,-2.0
485,insert,1209,-1,785,-2.0
486,insert,1500,-1,786,-2.0
487,insert,1042,-1,787,-2.0
488,insert,1459,-1,788,-2.0
489,insert,833,-1,789,-2.0
490,insert,2167,-1,790,-2.0
491,insert,1834,-1,791,-2.0
492,insert,1500,-1,792,-2.0
493,insert,1291,-1,793,-2.0
494,insert,792,-1,794,-2.0
495,insert,875,-1,795,-2.0
496,insert,917,-1,796,-2.0
497,insert,1375,-1,797,-2.0
498,insert,1666,-1,798,-2.0
499,insert,667,-1,799,-2.0
500,insert,1666,-1,800,-2.0
501,insert,958,-1,801,-2.0
502,insert,1125,-1,802,-2.0
503,insert,1458,-1,803,-2.0
504,insert,875,-1,804,-2.0
505,insert,2000,-1,805,-2.0
506,insert,1459,-1,806,-2.0
507,insert,1375,-1,807,-2.0
508,insert,1000,-1,808,-2.0
509,insert,1459,-1,809,-2.0
510,insert,1333,-1,810,-2.0
511,insert,1958,-1,811,-2.0
512,insert,1750,-1,812,-2.0
513,insert,1791,-1,813,-2.0
514,insert,1792,-1,814,-2.0
515,insert,1500,-1,815,-2.0
516,insert,750,-1,816,-2.0
517,insert,1209,-1,817,-2.0
518,insert,1375,-1,818,-2.0
519,insert,791,-1,819,-2.0
520,insert,917,-1,820,-2.0
521,insert,583,-1,821,-2.0
522,insert,500,-1,822,-2.0
523,insert,500,-1,823,-2.0
524,insert,958,-1,824,-2.0
525,insert,1375,-1,825,-2.0
526,insert,1291,-1,826,-2.0
527,insert,709,-1,827,-2.0
528,insert,1791,-1,828,-2.0
529,insert,1625,-1,829,-2.0
530,insert,1667,-1,830,-2.0
531,insert,1625,-1,831,-2.0
532,insert,1000,-1,832,-2.0
533,insert,1417,-1,833,-2.0
534,insert,500,-1,834,-2.0
535,insert,1750,-1,835,-2.0
536,insert,1750,-1,836,-2.0
537,insert,1916,-1,837,-2.0
538,insert,1042,-1,838,-2.0
539,insert,792,-1,839,-2.0
540,insert,833,-1,840,-2.0
541,insert,1625,-1,841,-2.0
542,insert,1500,-1,842,-2.0
543,insert,750,-1,843,-2.0
544,insert,1583,-1,844,-2.0
545,insert,1500,-1,845,-2.0
546,insert,1291,-1,846,-2.0
547,insert,1209,-1,847,-2.0
548,insert,1250,-1,848,-2.0
549,insert,1500,-1,849,-2.0
550,insert,1458,-1,850,-2.0
551,insert,1000,-1,851,-2.0
552,insert,1042,-1,852,-2.0
553,insert,958,-1,853,-2.0
554,insert,1584,-1,854,-2.0
555,insert,1125,-1,855,-2.0
556,insert,1625,-1,856,-2.0
557,insert,1042,-1,857,-2.0
558,insert,1541,-1,858,-2.0
559,insert,1542,-1,859,-2.0
560,insert,1542,-1,860,-2.0
561,insert,1541,-1,861,-2.0
562,insert,1334,-1,862,-2.0
563,insert,1500,-1,863,-2.0
564,insert,1791,-1,864,-2.0
565,insert,1000,-1,865,-2.0
566,insert,2167,-1,866,-2.0
567,insert,1708,-1,867,-2.0
568,insert,959,-1,868,-2.0
569,insert,1333,-1,869,-2.0
570,insert,1083,-1,870,-2.0
571,insert,750,-1,871,-2.0
572,insert,1625,-1,872,-2.0
573,insert,1209,-1,873,-2.0
574,insert,1000,-1,874,-2.0
575,insert,1125,-1,875,-2.0
576,insert,917,-1,876,-2.0
577,insert,1750,-1,877,-2.0
578,insert,1250,-1,878,-2.0
579,insert,375,-1,879,-2.0
580,insert,1625,-1,880,-2.0
581,insert,1667,-1,881,-2.0
582,insert,1583,-1,882,-2.0
583,insert,1208,-1,883,-2.0
584,insert,1541,-1,884,-2.0
585,insert,1541,-1,885,-2.0
586,insert,1459,-1,886,-2.0
587,insert,1208,-1,887,-2.0
588,insert,792,-1,888,-2.0
589,insert,1584,-1,889,-2.0
590,insert,1375,-1,890,-2.0
591,insert,834,-1,891,-2.0
592,insert,750,-1,892,-2.0
593,insert,583,-1,893,-2.0
594,insert,2292,-1,894,-2.0
595,insert,1583,-1,895,-2.0
596,insert,708,-1,896,-2.0
597,insert,1333,-1,897,-2.0
598,insert,584,-1,898,-2.0
599,insert,542,-1,899,-2.0
600,insert,1583,536458,900,1.0
601,insert,916,-1,901,-2.0
602,insert,250,-1,902,-2.0
603,insert,1292,-1,903,-2.0
604,insert,791,-1,904,-2.0
605,insert,667,-1,905,-2.0
606,insert,1167,-1,906,-2.0
607,insert,708,-1,907,-2.0
608,insert,1250,-1,908,-2.0
609,insert,1041,-1,909,-2.0
610,insert,1416,-1,910,-2.0
611,insert,1334,-1,911,-2.0
612,insert,1083,-1,912,-2.0
613,insert,1166,-1,913,-2.0
614,insert,709,-1,914,-2.0
615,insert,833,-1,915,-2.0
616,insert,1000,-1,916,-2.0
617,insert,1000,-1,917,-2.0
618,insert,917,-1,918,-2.0
619,insert,916,-1,919,-2.0
620,insert,292,-1,920,-2.0
621,insert,1125,-1,921,-2.0
622,insert,958,-1,922,-2.0
623,insert,792,-1,923,-2.0
624,insert,2083,-1,924,-2.0
625,insert,667,-1,925,-2.0
626,insert,1708,-1,926,-2.0
627,insert,1792,-1,927,-2.0
628,insert,583,-1,928,-2.0
629,insert,791,-1,929,-2.0
630,insert,1625,-1,930,-2.0
631,insert,1042,-1,931,-2.0
632,insert,958,-1,932,-2.0
633,insert,1208,-1,933,-2.0
634,insert,625,-1,934,-2.0
635,insert,1000,-1,935,-2.0
636,insert,1209,-1,936,-2.0
637,insert,708,-1,937,-2.0
638,insert,1667,-1,938,-2.0
639,insert,875,-1,939,-2.0
640,insert,1625,-1,940,-2.0
641,insert,625,-1,941,-2.0
642,insert,667,-1,942,-2.0
643,insert,584,-1,943,-2.0
644,insert,1625,-1,944,-2.0
645,insert,1208,-1,945,-2.0
646,insert,875,-1,946,-2.0
647,insert,1084,-1,947,-2.0
648,insert,292,-1,948,-2.0
649,insert,1708,-1,949,-2.0
650,insert,1833,-1,950,-2.0
651,insert,1042,-1,951,-2.0
652,insert,958,-1,952,-2.0
653,insert,917,-1,953,-2.0
654,insert,1250,-1,954,-2.0
655,insert,1000,-1,955,-2.0
656,insert,917,-1,956,-2.0
657,insert,2125,-1,957,-2.0
658,insert,1375,-1,958,-2.0
659,insert,292,-1,959,-2.0
660,insert,1042,-1,960,-2.0
661,insert,1291,-1,961,-2.0
662,insert,834,-1,962,-2.0
663,insert,708,-1,963,-2.0
664,insert,1542,-1,964,-2.0
665,insert,666,-1,965,-2.0
666,insert,1584,-1,966,-2.0
667,insert,1042,-1,967,-2.0
668,insert,1041,-1,968,-2.0
669,insert,1250,-1,969,-2.0
670,insert,1167,-1,970,-2.0
671,insert,250,-1,971,-2.0
672,insert,1542,-1,972,-2.0
673,insert,1583,-1,973,-2.0
674,insert,1750,-1,974,-2.0
675,insert,1250,-1,975,-2.0
676,insert,1000,-1,976,-2.0
677,insert,2375,-1,977,-2.0
678,insert,1042,-1,978,-2.0
679,insert,667,-1,979,-2.0
680,insert,458,-1,980,-2.0
681,insert,875,-1,981,-2.0
682,insert,875,-1,982,-2.0
683,insert,1333,-1,983,-2.0
684,insert,1209,-1,984,-2.0
685,insert,791,-1,985,-2.0
686,insert,625,-1,986,-2.0
687,insert,250,-1,987,-2.0
688,insert,1292,-1,988,-2.0
689,insert,542,-1,989,-2.0
690,insert,541,-1,990,-2.0
691,insert,2542,-1,991,-2.0
692,insert,583,-1,992,-2.0
693,insert,1667,-1,993,-2.0
694,insert,1125,-1,994,-2.0
695,insert,959,-1,995,-2.0
696,insert,1917,-1,996,-2.0
697,insert,708,-1,997,-2.0
698,insert,2084,-1,998,-2.0
699,insert,833,-1,999,-2.0
700,insert,834,-1,1000,-2.0
701,insert,1291,-1,1001,-2.0
702,insert,2333,-1,1002,-2.0
703,insert,1292,-1,1003,-2.0
704,insert,1667,-1,1004,-2.0
705,insert,1625,-1,1005,-2.0
706,insert,1542,-1,1006,-2.0
707,insert,1541,-1,1007,-2.0
708,insert,1541,-1,1008,-2.0
709,insert,1667,-1,1009,-2.0
710,insert,1542,-1,1010,-2.0
711,insert,1542,-1,1011,-2.0
712,insert,833,-1,1012,-2.0
713,insert,1375,-1,1013,-2.0
714,insert,1834,-1,1014,-2.0
715,insert,1708,-1,1015,-2.0
716,insert,2750,-1,1016,-2.0
717,insert,2041,-1,1017,-2.0
718,insert,1750,-1,1018,-2.0
719,insert,1375,-1,1019,-2.0
720,insert,1542,-1,1020,-2.0
721,insert,1583,-1,1021,-2.0
722,insert,1542,-1,1022,-2.0
723,insert,208,-1,1023,-2.0
724,insert,1125,-1,1024,-2.0
725,insert,5084,-1,1025,-2.0
726,insert,875,-1,1026,-2.0
727,insert,708,-1,1027,-2.0
728,insert,1458,-1,1028,-2.0
729,insert,2042,-1,1029,-2.0
730,insert,1250,-1,1030,-2.0
731,insert,1083,-1,1031,-2.0
732,insert,1000,-1,1032,-2.0
733,insert,1750,-1,1033,-2.0
734,insert,916,-1,1034,-2.0
735,insert,1666,-1,1035,-2.0
736,insert,1125,-1,1036,-2.0
737,insert,1333,-1,1037,-2.0
738,insert,1000,-1,1038,-2.0
739,insert,834,-1,1039,-2.0
740,insert,1250,-1,1040,-2.0
741,insert,791,-1,1041,-2.0
742,insert,750,-1,1042,-2.0
743,insert,1583,-1,1043,-2.0
744,insert,792,-1,1044,-2.0
745,insert,1500,-1,1045,-2.0
746,insert,1000,-1,1046,-2.0
747,insert,875,-1,1047,-2.0
748,insert,1208,-1,1048,-2.0
749,insert,1208,-1,1049,-2.0
750,insert,959,-1,1050,-2.0
751,insert,1000,-1,1051,-2.0
752,insert,875,-1,1052,-2.0
753,insert,1125,-1,1053,-2.0
754,insert,2083,-1,1054,-2.0
755,insert,1125,-1,1055,-2.0
756,insert,750,-1,1056,-2.0
757,insert,1292,-1,1057,-2.0
758,insert,666,-1,1058,-2.0
759,insert,833,-1,1059,-2.0
760,insert,1000,-1,1060,-2.0
761,insert,750,-1,1061,-2.0
762,insert,709,-1,1062,-2.0
763,insert,1791,-1,1063,-2.0
764,insert,1917,-1,1064,-2.0
765,insert,958,-1,1065,-2.0
766,insert,875,-1,1066,-2.0
767,insert,792,-1,1067,-2.0
768,insert,917,-1,1068,-2.0
769,insert,1000,-1,1069,-2.0
770,insert,1083,-1,1070,-2.0
771,insert,1000,-1,1071,-2.0
772,insert,958,-1,1072,-2.0
773,insert,1291,-1,1073,-2.0
774,insert,1125,-1,1074,-2.0
775,insert,1167,-1,1075,-2.0
776,insert,500,-1,1076,-2.0
777,insert,1000,-1,1077,-2.0
778,insert,1000,-1,1078,-2.0
779,insert,1083,-1,1079,-2.0
780,insert,1709,-1,1080,-2.0
781,insert,1584,-1,1081,-2.0
782,insert,166,-1,1082,-2.0
783,insert,1625,-1,1083,-2.0
784,insert,1291,-1,1084,-2.0
785,insert,1584,-1,1085,-2.0
786,insert,1416,-1,1086,-2.0
787,insert,1167,-1,1087,-2.0
