dataset,seed,mode,ari,nmi,status
circles,45,local_scale,1.0,1.0,ok
circles,45,knn_median,1.0,1.0,ok
circles,45,supported_merge,1.0,1.0,ok
circles,45,saddle_cut,1.0,1.0,ok
circles,45,manifold_filter,1.0,1.0,ok
circles,46,raw_length,0.5570005516782207,0.5468418118633542,ok
circles,46,local_scale,0.9304407315355738,0.9099507696244934,ok
circles,46,knn_median,0.9983347199093332,0.9955737162526257,ok
circles,46,supported_merge,0.9304407315355738,0.9099507696244934,ok
circles,46,saddle_cut,0.9304407315355738,0.9099507696244934,ok
circles,46,manifold_filter,0.9304407315355738,0.9099507696244934,ok
moons,42,raw_length,0.9158102203559645,0.8677033292460635,ok
moons,42,local_scale,1.0,1.0,ok
moons,42,knn_median,1.0,1.0,ok
moons,42,supported_merge,1.0,1.0,ok
moons,42,saddle_cut,1.0,1.0,ok
moons,42,manifold_filter,1.0,1.0,ok
moons,43,raw_length,0.9167500420572594,0.8661671482076606,ok
moons,43,local_scale,0.9706970672117613,0.9502045747742831,ok
moons,43,knn_median,1.0,1.0,ok
moons,43,supported_merge,0.9966749954166539,0.9920068169790668,ok
moons,43,saddle_cut,0.9706970672117613,0.9502045747742831,ok
moons,43,manifold_filter,0.9706970672117613,0.9502045747742831,ok
moons,44,raw_length,0.3304176707709079,0.4906549395397058,ok
moons,44,local_scale,1.0,1.0,ok
moons,44,knn_median,0.9966666550964249,0.9903524863653428,ok
moons,44,supported_merge,1.0,1.0,ok
moons,44,saddle_cut,1.0,1.0,ok
moons,44,manifold_filter,1.0,1.0,ok
moons,45,raw_length,0.9184627969550168,0.8686838430503265,ok
moons,45,local_scale,1.0,1.0,ok
moons,45,knn_median,1.0,1.0,ok
moons,45,supported_merge,1.0,1.0,ok
moons,45,saddle_cut,1.0,1.0,ok
moons,45,manifold_filter,1.0,1.0,ok
moons,46,raw_length,0.9215629958893822,0.8720044068554434,ok
moons,46,local_scale,1.0,1.0,ok
moons,46,knn_median,1.0,1.0,ok
moons,46,supported_merge,1.0,1.0,ok
moons,46,saddle_cut,1.0,1.0,ok
moons,46,manifold_filter,1.0,1.0,ok
spiral,42,raw_length,0.06386931379261859,0.22460164914958955,ok
spiral,42,local_scale,0.04552800501640248,0.19408071928685208,ok
spiral,42,knn_median,0.2826248658572686,0.33770867551785244,ok
spiral,42,supported_merge,0.0263601011609875,0.1599155054345094,ok
spiral,42,saddle_cut,0.04756855280648617,0.176094990545571,ok
spiral,42,manifold_filter,0.10509477592039167,0.26931659917539386,ok
spiral,43,raw_length,0.04276994323253234,0.2103329639072944,ok
spiral,43,local_scale,0.04559952681114903,0.13123600042134537,ok
spiral,43,knn_median,0.0979838481985115,0.23055692336033484,ok
spiral,43,supported_merge,0.014430895563030345,0.13443767127617878,ok
spiral,43,saddle_cut,0.04559952681114903,0.13123600042134537,ok
spiral,43,manifold_filter,0.4145546951953462,0.4420463883440428,ok
spiral,44,raw_length,0.016580740535822088,0.17904101598089261,ok
spiral,44,local_scale,0.0738029108202191,0.2200863182297973,ok
spiral,44,knn_median,0.04196203375131466,0.15967692238442904,ok
spiral,44,supported_merge,0.0738029108202191,0.2200863182297973,ok
spiral,44,saddle_cut,0.09454608124092719,0.20406248153410134,ok
spiral,44,manifold_filter,0.04529545720442695,0.21572370819267916,ok
spiral,45,raw_length,0.05597289365074324,0.20444472344839926,ok
spiral,45,local_scale,0.09758327253876282,0.2357005527185486,ok
spiral,45,knn_median,0.1923959349975887,0.33485844851480545,ok
spiral,45,supported_merge,0.09758327253876282,0.2357005527185486,ok
spiral,45,saddle_cut,0.038345190123426125,0.12361923740297222,ok
spiral,45,manifold_filter,0.5042163457289791,0.5205289979108427,ok
spiral,46,raw_length,0.09998981488193001,0.2717737532429732,ok
spiral,46,local_scale,0.02384408907961469,0.08039285551501618,ok
spiral,46,knn_median,0.1963793680645592,0.21540285049580019,ok
spiral,46,supported_merge,0.02384408907961469,0.08039285551501618,ok
spiral,46,saddle_cut,0.02384408907961469,0.08039285551501618,ok
spiral,46,manifold_filter,0.02384408907961469,0.08039285551501618,ok
touching,42,raw_length,-0.011501394505702367,0.037676065475429225,ok
touching,42,local_scale,0.07212741458567573,0.2028660215278901,ok
touching,42,knn_median,0.2794816731818184,0.2705998682968255,ok
touching,42,supported_merge,-0.005284237229726964,0.07455666303514141,ok
touching,42,saddle_cut,0.34975507914517673,0.2676267907021449,ok
touching,42,manifold_filter,0.07212741458567573,0.2028660215278901,ok
touching,43,raw_length,0.012169932838180663,0.11451819656697942,ok
touching,43,local_scale,0.1809023385514257,0.23835585835277534,ok
touching,43,knn_median,0.2901427158529435,0.3006742134913422,ok
touching,43,supported_merge,0.13664494226514756,0.2088333234738057,ok
touching,43,saddle_cut,0.21767841390312787,0.1568453963679374,ok
touching,43,manifold_filter,0.1809023385514257,0.23835585835277534,ok
touching,44,raw_length,-0.012687852082823654,0.0175726013300003,ok
touching,44,local_scale,0.039185822507199645,0.19694540779057948,ok
touching,44,knn_median,0.09266423596718869,0.21605792377682956,ok
touching,44,supported_merge,-0.008848382928606478,0.07007938081465868,ok
touching,44,saddle_cut,0.25713601774967143,0.18102193577531683,ok
touching,44,manifold_filter,0.039185822507199645,0.19694540779057948,ok
touching,45,raw_length,-0.012867625044223247,0.013863862189646537,ok
touching,45,local_scale,0.06183145052918423,0.21145431906124662,ok
touching,45,knn_median,0.010696821229550565,0.11682299881623381,ok
